83|2|(第31周) 08月02日-08月08日|￥ 3100|￥ 3100|2014-03-13 10:31:21.924435|2014-03-13 10:31:21.924435|内地票房|2010年|34|m1905
84|3|(第31周) 08月02日-08月08日|￥ 2800|￥ 2800|2014-03-13 10:31:22.226512|2014-03-13 10:31:22.226512|内地票房|2010年|35|m1905
85|5|(第31周) 08月02日-08月08日|￥ 610|￥ 1090|2014-03-13 10:31:22.469835|2014-03-13 10:31:22.469835|内地票房|2010年|33|m1905
86|6|(第31周) 08月02日-08月08日|￥ 600|￥ 2030|2014-03-13 10:31:22.557742|2014-03-13 10:31:22.557742|内地票房|2010年|30|m1905
87|7|(第31周) 08月02日-08月08日|￥ 310|￥ 810|2014-03-13 10:31:22.657901|2014-03-13 10:31:22.657901|内地票房|2010年|32|m1905
88|8|(第31周) 08月02日-08月08日|￥ 280|￥ 680|2014-03-13 10:31:22.782785|2014-03-13 10:31:22.782785|内地票房|2010年|31|m1905
89|9|(第31周) 08月02日-08月08日|￥ 230|￥ 9090|2014-03-13 10:31:22.898476|2014-03-13 10:31:22.898476|内地票房|2010年|25|m1905
90|10|(第31周) 08月02日-08月08日|￥ 150|￥ 11090|2014-03-13 10:31:23.030145|2014-03-13 10:31:23.030145|内地票房|2010年|12|m1905
91|1|(第32周) 08月09日-08月15日|￥ 6000|￥ 59400|2014-03-13 10:31:23.372843|2014-03-13 10:31:23.372843|内地票房|2010年|29|m1905
92|2|(第32周) 08月09日-08月15日|￥ 3900|￥ 7000|2014-03-13 10:31:24.767587|2014-03-13 10:31:24.767587|内地票房|2010年|34|m1905
93|3|(第32周) 08月09日-08月15日|￥ 1750|￥ 4550|2014-03-13 10:31:25.022220|2014-03-13 10:31:25.022220|内地票房|2010年|35|m1905
94|4|(第32周) 08月09日-08月15日|￥ 1700|￥ 1700|2014-03-13 10:31:25.470135|2014-03-13 10:31:25.470135|内地票房|2010年|36|m1905
95|5|(第32周) 08月09日-08月15日|￥ 620|￥ 620|2014-03-13 10:31:26.141231|2014-03-13 10:31:26.141231|内地票房|2010年|37|m1905
96|7|(第32周) 08月09日-08月15日|￥ 340|￥ 340|2014-03-13 10:31:29.887155|2014-03-13 10:31:29.887155|内地票房|2010年|38|m1905
97|8|(第32周) 08月09日-08月15日|￥ 280|￥ 2310|2014-03-13 10:31:29.963281|2014-03-13 10:31:29.963281|内地票房|2010年|30|m1905
98|1|(第33周) 08月16日-08月22日|￥ 7300|￥ 7300|2014-03-13 10:31:30.309731|2014-03-13 10:31:30.309731|内地票房|2010年|39|m1905
99|3|(第33周) 08月16日-08月22日|￥ 3500|￥ 62900|2014-03-13 10:31:30.686834|2014-03-13 10:31:30.686834|内地票房|2010年|29|m1905
100|4|(第33周) 08月16日-08月22日|￥ 3000|￥ 4700|2014-03-13 10:31:30.853067|2014-03-13 10:31:30.853067|内地票房|2010年|36|m1905
101|5|(第33周) 08月16日-08月22日|￥ 1800|￥ 8800|2014-03-13 10:31:31.345448|2014-03-13 10:31:31.345448|内地票房|2010年|34|m1905
